No,Produk,Ulasan,Rating
1,Lato-lato,Dateng juga.. anak anak suka.. Makasih..,5
2,Lato-lato,Paket nya sampai dengan rapih tapi kok beli nya 4 dikirim nya cuma 3 ya sedikit kecewa si,4
3,Lato-lato,Lucu warna warna nya pastel gitu jadi gemes wkwkwkw,5
4,Lato-lato,Baru berapa kali dimaenin udah pecah untung ga kena apapun. Ditingkatkan kualitas lato2nya ya.,4
5,Lato-lato,Super worth it untuk harga segitu dan kualitasnya juga baik.. Pengemasan cepat banget. Next bakal order lagi. Makasi ya seller,4
6,Lato-lato,ternyata ga lsg dipasang jdnya agak ribet ya buat yg gapaham. trs yg atasnya biasanya bulet dan ini ada 1 yg bentuknya bukan bulet,2
7,Lato-lato,Bagus sih oke kualitasnya tapi sayangnya talinya kependekan banget kak,5
8,Lato-lato,Pegangannya beda sama foto...malah jdnya ga bs dimainin...jadinya saya ikat biasa aja.. spt yg harga 2rb deh.,3
9,Lato-lato,nunggu nya lama banget sekalinya nyampe barangnya kurang,4
10,Lato-lato,Talinya kurang tebel sih tp okelah untuk harga segitu,5
11,Lato-lato,Sangat kecewa baru sampe buat main sebentar sudah patah,1
12,Lato-lato,Bagus banget ngerakitnya juga gampang banget,5
13,Lato-lato,Sangat kecewa sama toko ini pesan nya 2 yang datang cuman 1,1
14,Lato-lato,Biasa bgt.. warna gak sesuai.. pengiriman lamaa.. udah basi baru sampe,3
15,Lato-lato,Barang sudah diterima kualitas oke lumayan tapi sedikit ada cacat,5
16,Lato-lato,Ini sudah beli ke 2 kalinya.. Pengiriman cepat barangnya bagus warnanya kalem..,5
17,Lato-lato,Pesan 4 yang datang 3,3
18,Lato-lato,Barang sudah sampai sesuai dengan yang di pesan dan bagus,4
19,Lato-lato,Minta warna apa yg dtg warna kuning semua.. Mana gk ada konfirmasi dulu,2
20,Lato-lato,kualitas produk sangat baik. harga produk sangat baik. . . .,5
21,Lato-lato,Ga tau ini barang reject atau gimana.. Kayak ada bekas kebakar.. Pengiriman jg lama..,3
22,Lato-lato,warna nya bagus terang..mantep lato lato nya,5
23,Lato-lato,Tidak lengkap,1
24,Lato-lato,Bagus sihh cuma pesen warna apa mlh dateng nya warna apa bukan warna pastel,4
25,Lato-lato,bagus sihh keliatannya tebal gitu berat juga pokonya bagus tapi kirain talinya merah ternyata ijo jadi warnanya cuco gitu tapi gapapa hehe,5
26,Lato-lato,Paket nya sudah diterima dengan baik,3
27,Lato-lato,pengiriman super duper lama,2
28,Lato-lato,sudah sampai lato latonya...bagus warnanya lembut anak saya suka sekali. terima kasih,5
29,Lato-lato,Respon penjual baik Sesuai pesanan,5
30,Lato-lato,sampai dengan baik..warna sesuai.. tp belum dipasangin talinya,4
31,Lato-lato,pengiriman barang cepat dan kualitas barang bagus,5
32,Lato-lato,Bagus lucu tali nya lumayan panjang,5
33,Lato-lato,Terimakasih pesanan datang sesuai yg dipesan,5
34,Lato-lato,sampai dengan baik..warna sesuai.. tp belum dipasangin talinya,4
35,Lato-lato,Pesen 8 yg dateng 7. Di foto udah di buka 1. Karna ga ada video unboxing jd yasudalah.,4
36,Lato-lato,Saya pesan lato-lato 2 pink sama ungu eh malah yang datang 1 doang warna pink,1
37,Lato-lato,bagus banget..warna tipe suka sesuai pesanan...suka banget..terima kasih banyak..,5
38,Lato-lato,baru main sehari langsung patah,3
